,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,dominant_topic
Doc1526,0.01,0.41,0.48,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2
Doc1527,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc1528,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc1529,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc1530,0.02,0.02,0.02,0.35,0.02,0.02,0.02,0.18,0.02,0.35,3
Doc1531,0.02,0.02,0.18,0.02,0.02,0.02,0.18,0.52,0.02,0.02,7
Doc1532,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1533,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,2
Doc1534,0.03,0.03,0.03,0.03,0.03,0.52,0.28,0.03,0.03,0.03,5
Doc1535,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.36,0.03,0.03,6
Doc1536,0.01,0.01,0.28,0.01,0.15,0.23,0.01,0.26,0.01,0.01,2
Doc1537,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,7
Doc1538,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.52,0.03,8
Doc1539,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1540,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.52,0.03,8
Doc1541,0.42,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0
Doc1542,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1543,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc1544,0.18,0.53,0.02,0.02,0.02,0.02,0.02,0.02,0.17,0.02,1
Doc1545,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.52,0.03,0.03,7
Doc1546,0.03,0.27,0.03,0.03,0.03,0.03,0.27,0.03,0.28,0.03,8
Doc1547,0.03,0.03,0.03,0.03,0.03,0.24,0.31,0.27,0.03,0.03,6
Doc1548,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc1549,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc1550,0.02,0.02,0.02,0.02,0.42,0.22,0.02,0.22,0.02,0.02,4
Doc1551,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,0.03,0.03,4
Doc1552,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,6
Doc1553,0.03,0.35,0.38,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc1554,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1555,0.03,0.03,0.03,0.37,0.03,0.03,0.37,0.03,0.03,0.03,3
Doc1556,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1557,0.02,0.22,0.02,0.22,0.02,0.02,0.42,0.02,0.02,0.02,6
Doc1558,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
Doc1559,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1560,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,1
Doc1561,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,3
Doc1562,0.03,0.03,0.03,0.03,0.32,0.03,0.03,0.42,0.03,0.03,7
Doc1563,0.03,0.24,0.56,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc1564,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.37,0.03,3
Doc1565,0.02,0.02,0.02,0.02,0.02,0.31,0.22,0.33,0.02,0.02,7
Doc1566,0.03,0.03,0.03,0.03,0.38,0.03,0.03,0.03,0.03,0.42,9
Doc1567,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc1568,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1569,0.03,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,4
Doc1570,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.42,0.02,0.22,7
Doc1571,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc1572,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc1573,0.01,0.16,0.01,0.01,0.58,0.16,0.01,0.01,0.01,0.01,4
Doc1574,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc1575,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1576,0.02,0.02,0.52,0.02,0.16,0.02,0.02,0.02,0.02,0.21,2
Doc1577,0.03,0.03,0.03,0.28,0.03,0.03,0.03,0.03,0.03,0.52,9
Doc1578,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1579,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,2
Doc1580,0.02,0.18,0.02,0.21,0.02,0.02,0.2,0.02,0.16,0.16,3
Doc1581,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1582,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1583,0.01,0.62,0.13,0.01,0.01,0.01,0.01,0.01,0.18,0.01,1
Doc1584,0.01,0.01,0.01,0.01,0.36,0.01,0.01,0.4,0.15,0.01,7
Doc1585,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1586,0.03,0.03,0.03,0.28,0.24,0.03,0.03,0.03,0.03,0.31,9
Doc1587,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc1588,0.03,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.53,9
Doc1589,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,1
Doc1590,0.02,0.23,0.02,0.02,0.02,0.02,0.32,0.31,0.02,0.02,6
Doc1591,0.03,0.03,0.03,0.03,0.52,0.03,0.03,0.03,0.27,0.03,4
Doc1592,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1593,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1594,0.33,0.01,0.11,0.11,0.39,0.01,0.01,0.01,0.01,0.01,4
Doc1595,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1596,0.02,0.52,0.02,0.02,0.18,0.02,0.02,0.18,0.02,0.02,1
Doc1597,0.01,0.01,0.12,0.01,0.55,0.01,0.01,0.01,0.1,0.18,4
Doc1598,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.42,0.42,0.02,7
Doc1599,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1600,0.03,0.03,0.03,0.03,0.03,0.42,0.03,0.03,0.03,0.38,5
Doc1601,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc1602,0.01,0.13,0.01,0.01,0.23,0.01,0.23,0.01,0.34,0.01,8
Doc1603,0.03,0.42,0.03,0.03,0.23,0.03,0.03,0.03,0.18,0.03,1
Doc1604,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,4
Doc1605,0.02,0.02,0.02,0.02,0.22,0.02,0.62,0.02,0.02,0.02,6
Doc1606,0.02,0.35,0.02,0.02,0.02,0.02,0.52,0.02,0.02,0.02,6
Doc1607,0.01,0.01,0.59,0.01,0.01,0.01,0.01,0.01,0.3,0.01,2
Doc1608,0.03,0.03,0.03,0.27,0.03,0.03,0.53,0.03,0.03,0.03,6
Doc1609,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1610,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1611,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1612,0.03,0.28,0.27,0.03,0.03,0.03,0.03,0.03,0.03,0.27,1
Doc1613,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc1614,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1615,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1616,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,2
Doc1617,0.01,0.23,0.12,0.01,0.01,0.01,0.57,0.01,0.01,0.01,6
Doc1618,0.01,0.01,0.5,0.01,0.01,0.01,0.39,0.01,0.01,0.01,2
Doc1619,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc1620,0.01,0.43,0.01,0.01,0.01,0.01,0.01,0.01,0.47,0.01,8
Doc1621,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc1622,0.03,0.52,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.28,1
Doc1623,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc1624,0.03,0.28,0.03,0.27,0.03,0.03,0.03,0.03,0.28,0.03,1
Doc1625,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.22,0.22,0.22,5
Doc1626,0.03,0.03,0.03,0.03,0.28,0.52,0.03,0.03,0.03,0.03,5
Doc1627,0.03,0.03,0.42,0.31,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc1628,0.03,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.53,9
Doc1629,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc1630,0.37,0.03,0.03,0.03,0.03,0.36,0.03,0.03,0.03,0.03,0
Doc1631,0.14,0.01,0.01,0.51,0.14,0.01,0.01,0.01,0.01,0.14,3
Doc1632,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc1633,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.42,0.22,8
Doc1634,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1635,0.02,0.02,0.42,0.02,0.02,0.02,0.02,0.42,0.02,0.02,2
Doc1636,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1637,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1638,0.02,0.02,0.02,0.19,0.02,0.51,0.02,0.02,0.02,0.18,5
Doc1639,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc1640,0.02,0.36,0.02,0.48,0.02,0.02,0.02,0.02,0.02,0.02,3
Doc1641,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc1642,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,3
Doc1643,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1644,0.03,0.03,0.03,0.03,0.03,0.35,0.03,0.39,0.03,0.03,7
Doc1645,0.02,0.02,0.02,0.02,0.02,0.17,0.02,0.2,0.51,0.02,8
Doc1646,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1647,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1648,0.02,0.02,0.02,0.02,0.02,0.18,0.02,0.58,0.02,0.12,7
Doc1649,0.02,0.02,0.6,0.02,0.02,0.27,0.02,0.02,0.02,0.02,2
Doc1650,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc1651,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,0.03,6
Doc1652,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,7
Doc1653,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1654,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1655,0.02,0.62,0.02,0.02,0.02,0.02,0.02,0.22,0.02,0.02,1
Doc1656,0.02,0.02,0.21,0.02,0.22,0.23,0.02,0.02,0.02,0.22,5
Doc1657,0.03,0.03,0.03,0.03,0.5,0.03,0.03,0.03,0.03,0.3,4
Doc1658,0.02,0.02,0.02,0.35,0.02,0.18,0.02,0.02,0.35,0.02,3
Doc1659,0.01,0.01,0.3,0.01,0.01,0.01,0.01,0.44,0.16,0.01,7
Doc1660,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1661,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc1662,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1663,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc1664,0.02,0.02,0.85,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc1665,0.01,0.01,0.01,0.42,0.01,0.2,0.01,0.01,0.28,0.01,3
Doc1666,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1667,0.03,0.36,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.38,9
Doc1668,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1669,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1670,0.02,0.2,0.02,0.02,0.18,0.02,0.02,0.02,0.02,0.5,9
Doc1671,0.01,0.01,0.3,0.16,0.01,0.01,0.01,0.01,0.01,0.44,9
Doc1672,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc1673,0.02,0.02,0.26,0.02,0.02,0.02,0.38,0.22,0.02,0.02,6
Doc1674,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc1675,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.62,9
Doc1676,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc1677,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc1678,0.02,0.02,0.52,0.02,0.02,0.02,0.35,0.02,0.02,0.02,2
Doc1679,0.24,0.21,0.02,0.02,0.02,0.02,0.22,0.21,0.02,0.02,0
Doc1680,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,1
Doc1681,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,5
Doc1682,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1683,0.01,0.01,0.4,0.37,0.14,0.01,0.01,0.01,0.01,0.01,2
Doc1684,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1685,0.02,0.02,0.02,0.02,0.02,0.02,0.22,0.65,0.02,0.02,7
Doc1686,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1687,0.01,0.14,0.14,0.01,0.11,0.01,0.15,0.41,0.01,0.01,7
Doc1688,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1689,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1690,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,9
Doc1691,0.03,0.03,0.03,0.03,0.03,0.51,0.29,0.03,0.03,0.03,5
Doc1692,0.03,0.03,0.36,0.37,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc1693,0.03,0.03,0.52,0.03,0.03,0.03,0.27,0.03,0.03,0.03,2
Doc1694,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,3
Doc1695,0.14,0.14,0.14,0.01,0.26,0.01,0.26,0.01,0.01,0.01,4
Doc1696,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,5
Doc1697,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1698,0.14,0.01,0.01,0.01,0.13,0.01,0.01,0.54,0.11,0.01,7
Doc1699,0.01,0.13,0.34,0.01,0.17,0.01,0.01,0.01,0.01,0.3,2
Doc1700,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1701,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1702,0.18,0.02,0.02,0.02,0.02,0.02,0.02,0.68,0.02,0.02,7
Doc1703,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc1704,0.01,0.42,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.2,1
Doc1705,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,0.03,6
Doc1706,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2
Doc1707,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1708,0.02,0.02,0.51,0.02,0.02,0.33,0.02,0.02,0.02,0.02,2
Doc1709,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1710,0.02,0.22,0.02,0.38,0.26,0.02,0.02,0.02,0.02,0.02,3
Doc1711,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1712,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc1713,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1714,0.02,0.35,0.02,0.18,0.02,0.02,0.35,0.02,0.02,0.02,1
Doc1715,0.36,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,9
Doc1716,0.02,0.38,0.02,0.02,0.02,0.02,0.02,0.16,0.35,0.02,1
Doc1717,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,2
Doc1718,0.01,0.01,0.01,0.01,0.2,0.19,0.01,0.21,0.01,0.31,9
Doc1719,0.01,0.01,0.18,0.24,0.16,0.01,0.16,0.01,0.19,0.01,3
Doc1720,0.02,0.25,0.02,0.02,0.02,0.19,0.02,0.02,0.44,0.02,8
Doc1721,0.22,0.02,0.42,0.02,0.02,0.02,0.02,0.22,0.02,0.02,2
Doc1722,0.03,0.03,0.03,0.03,0.03,0.49,0.03,0.03,0.31,0.03,5
Doc1723,0.29,0.02,0.02,0.02,0.02,0.02,0.58,0.02,0.02,0.02,6
Doc1724,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.03,0.03,0
Doc1725,0.02,0.02,0.02,0.22,0.02,0.02,0.02,0.62,0.02,0.02,7
Doc1726,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc1727,0.03,0.03,0.28,0.03,0.24,0.03,0.31,0.03,0.03,0.03,6
Doc1728,0.03,0.03,0.03,0.27,0.03,0.03,0.03,0.03,0.28,0.27,8
Doc1729,0.02,0.02,0.02,0.02,0.02,0.16,0.35,0.38,0.02,0.02,7
Doc1730,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1731,0.01,0.01,0.01,0.16,0.01,0.01,0.73,0.01,0.01,0.01,6
Doc1732,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.37,0.03,2
Doc1733,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,8
Doc1734,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1735,0.03,0.24,0.03,0.03,0.03,0.03,0.31,0.03,0.27,0.03,6
Doc1736,0.01,0.01,0.01,0.01,0.46,0.01,0.01,0.01,0.31,0.15,4
Doc1737,0.03,0.03,0.03,0.37,0.37,0.03,0.03,0.03,0.03,0.03,3
Doc1738,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc1739,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,9
Doc1740,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1741,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1742,0.36,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.5,9
Doc1743,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1744,0.01,0.01,0.16,0.01,0.01,0.01,0.01,0.73,0.01,0.01,7
Doc1745,0.23,0.01,0.3,0.01,0.37,0.01,0.01,0.01,0.01,0.01,4
Doc1746,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc1747,0.03,0.46,0.03,0.03,0.03,0.03,0.03,0.34,0.03,0.03,1
Doc1748,0.53,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.27,0
Doc1749,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1750,0.05,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,4
Doc1751,0.03,0.03,0.03,0.52,0.03,0.03,0.28,0.03,0.03,0.03,3
Doc1752,0.02,0.02,0.02,0.02,0.22,0.02,0.02,0.62,0.02,0.02,7
Doc1753,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc1754,0.16,0.24,0.18,0.01,0.01,0.01,0.01,0.01,0.34,0.01,8
Doc1755,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1756,0.02,0.26,0.02,0.02,0.02,0.19,0.02,0.41,0.02,0.02,7
Doc1757,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1
Doc1758,0.03,0.28,0.03,0.03,0.03,0.03,0.03,0.27,0.28,0.03,1
Doc1759,0.03,0.37,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,1
Doc1760,0.02,0.02,0.22,0.02,0.02,0.02,0.22,0.42,0.02,0.02,7
Doc1761,0.03,0.03,0.43,0.03,0.03,0.03,0.03,0.3,0.03,0.03,2
Doc1762,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,8
Doc1763,0.03,0.03,0.46,0.03,0.03,0.34,0.03,0.03,0.03,0.03,2
Doc1764,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,9
Doc1765,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.03,0.37,7
Doc1766,0.19,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.2,0.02,1
Doc1767,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1768,0.02,0.02,0.02,0.35,0.33,0.02,0.02,0.02,0.21,0.02,3
Doc1769,0.03,0.03,0.3,0.03,0.5,0.03,0.03,0.03,0.03,0.03,4
Doc1770,0.01,0.16,0.01,0.3,0.01,0.01,0.01,0.01,0.44,0.01,8
Doc1771,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,6
Doc1772,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1773,0.02,0.02,0.22,0.02,0.42,0.02,0.22,0.02,0.02,0.02,4
Doc1774,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1775,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.62,0.02,0.22,7
Doc1776,0.02,0.18,0.02,0.35,0.02,0.02,0.18,0.18,0.02,0.02,3
Doc1777,0.01,0.11,0.01,0.3,0.01,0.01,0.18,0.17,0.01,0.16,3
Doc1778,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1779,0.02,0.02,0.22,0.22,0.02,0.21,0.02,0.23,0.02,0.02,7
Doc1780,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,0.42,0.02,5
Doc1781,0.02,0.02,0.02,0.02,0.18,0.35,0.02,0.35,0.02,0.02,5
Doc1782,0.03,0.03,0.03,0.03,0.03,0.03,0.37,0.37,0.03,0.03,6
Doc1783,0.01,0.01,0.01,0.26,0.01,0.01,0.01,0.01,0.51,0.14,8
Doc1784,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05,7
Doc1785,0.03,0.03,0.03,0.77,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc1786,0.02,0.02,0.23,0.45,0.18,0.02,0.02,0.02,0.02,0.02,3
Doc1787,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1788,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1789,0.03,0.24,0.03,0.27,0.03,0.03,0.31,0.03,0.03,0.03,6
Doc1790,0.02,0.02,0.48,0.02,0.36,0.02,0.02,0.02,0.02,0.02,2
Doc1791,0.36,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.37,9
Doc1792,0.02,0.02,0.02,0.38,0.02,0.02,0.02,0.46,0.02,0.02,7
Doc1793,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.27,7
Doc1794,0.03,0.27,0.03,0.03,0.03,0.03,0.03,0.52,0.03,0.03,7
Doc1795,0.01,0.16,0.01,0.25,0.01,0.01,0.01,0.49,0.01,0.01,7
Doc1796,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2
Doc1797,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc1798,0.41,0.01,0.34,0.01,0.01,0.01,0.16,0.01,0.01,0.01,0
Doc1799,0.03,0.03,0.5,0.03,0.23,0.03,0.03,0.03,0.03,0.03,2
Doc1800,0.19,0.01,0.28,0.19,0.01,0.01,0.01,0.01,0.28,0.01,2
Doc1801,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1802,0.03,0.03,0.03,0.23,0.03,0.03,0.03,0.57,0.03,0.03,7
Doc1803,0.37,0.03,0.03,0.37,0.03,0.03,0.03,0.03,0.03,0.03,0
Doc1804,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,8
Doc1805,0.28,0.02,0.02,0.02,0.26,0.33,0.02,0.02,0.02,0.02,5
Doc1806,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.7,0.03,0.03,7
Doc1807,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
Doc1808,0.03,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,3
Doc1809,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,7
Doc1810,0.01,0.69,0.01,0.01,0.2,0.01,0.01,0.01,0.01,0.01,1
Doc1811,0.02,0.02,0.02,0.02,0.35,0.02,0.29,0.02,0.02,0.24,4
Doc1812,0.05,0.05,0.05,0.55,0.05,0.05,0.05,0.05,0.05,0.05,3
Doc1813,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0
Doc1814,0.22,0.22,0.02,0.02,0.02,0.02,0.02,0.42,0.02,0.02,7
Doc1815,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
